Title,Directors,Writers,Actors,Genres,Release Date,Runtime,Rating Count,Summary
beautiful Mind,Lang Howard,,"Russell Klaus, Ed Harris, Jennifer Connery, Christopher Pronuni, Paul Bedtini, Adam Goldburg, Josh Lucas, Anthony Rap, Jason 路 路Gali Stanford, Jade Hedhech, Austin Pandalton, Viviecca Cardine, Gilly Simon, Victor Stanbach, Tania Clark, Roy Sinis, Shelier路 Howard, Lance Howard, Jane Jenkins, Josh Pas, Valentina Cadidali, Tigel F. Berg, Michael Espel, Emi Valz, Ed Jopp, Kara Ochgeloso, Stario Savit, Michael Abert, Reggie Osten, Kaid Bitna, Richard Briant, Dan路 Chen, Jona Folken, Fabricio Vand, Scott Farmus Metom, Michael Forer, Sisi Gabel, Evan Hart, Jason路 Horton, Brace Dallas Howard, Lang Howard, Dori Manzer, Robert Mels, Ride Pennis, Mills Peier, Sean Reed","Plot, biography",2001/12/13,135,801583,"This film is about the character's biography of the great mathematics John Forbes-Nash.

John Forbes Nash (Russell Crowe) published a famous game theory when he was studying graduate students. Although the theory was only 26 pages, it had a profound impact in the field of economy and military.But just when John Forbes-Nash was internationally rejuvenated, his outstanding intuition was troubled by schizophrenia, but this did not prevent him from entering the academic highest level to march.With the encouragement and help of Jennifer Connery), although he walked slowly, he never stopped. In the end, with the unremitting efforts and tenacious will of ten years, he was compensated as expected."
Boys wearing striped pajamas,Mark Herman,,"Asa Butfeld, Villa Famiga, Kara Hogan, Zusa Hall, Ambell Biti, Laslo Alon, David Houryis, Richard Johnson, Xie Xie, XieLa Hancker, Ivan Fredeli, Bella Fastum, Etila Ejid, Robert Frander, David Heman, Jim Norton, Jack 路Selon, Mikhali Shabao Dosh, Zeson Safar Kovka, Osalia Julia Pappu","Plot, war",2008/8/28,94,595094,"The eight -year -old boy, Asa Butterfield, was relocated from Berlin to the countryside with the Nazi officer's father's paper order.Bruno, who lost his friends, soon became interested in the ""farm"" near the new home. There was a group of people in a ""striped pajamas"" busy all day long, and one of them served the Bruno family. He described dirty and cautious attitude.The surrounding environment and Bruno's behavior secretly worried about her mother, but the Nazi father stopped any suspicion of the established policy in the family.

Bruno secretly met Simer, the same age boy on the other side of the wire mesh, and often brought him food to eat.In the intense family atmosphere and the changes in her sister to the adult world, Smuer is the only friend of Bruno.One day Bruno decided to go to the other side of the wire mesh so that I could see Simer's father ...

The film is adapted from the novel of the same name of John Bern, and won the 2008 Chicago International Film Festival audience voting award."
Eavesdropping,Florian Henker von Donasmark,,"Ulich Murde, Martina Gedkk, Sebastian Koch, Ulrich Turkle, Thomas Time, Hans Youwa Ball, Walkerma 路Klener, Mattias Burener, Charlie Hana, Herbert Kenau, Bastian Truster, Marie Gruber, Verna Den, Martin 路 路Blammach, Thomas Arnold, Sinnak Sonman, Ludwig Brockberg, Michael Geber, Gitta Schwkhv, Hildergard Sroand,Iga Bikin Feld, Kay Ivo Paulz, Claus Munster","Plot, suspense",2006/3/23,137,590004,"In East Germany in 1984, the entire society was shrouded in the high -pressure rule of the National Security Agency. Agent Wesman (Ulrich M眉he) was ordered to monitor the playwriter Draiman (SebastianThe life of Herbastian Koch) and his girlfriend actor Christina (Martina Gedeck), during the monitoring process, Wesman gradually became interested in the family's life and began to help them secretly.An article published in West Germany's ""Mirror"" has attracted the attention of the agent. They believe that this article was written by Deliman and arrested Christina, hoping to get her husband's secret from her mouth?It is Wesman who interrogates Christina ..."
love letter,Iwai Shunji,,"涓北缇庣, 涓板窛鎮﹀徃, 閰掍簳缇庣邯, 鏌忓師宕? 鑼冩枃闆€, 绡犲師鑳滀箣, 閾冩湪搴嗕竴, 鐢板彛鏅烘湕, 鍔犺春楹荤悊瀛? 鍏夌煶鐮? 閾冩湪鍏板叞, 鐩愯涓夌渷, 涓潙涔呯編, 姊呯敯鍑′箖, 闀縏ian Jiang's body, Oguri Kaori, Kobe, Sakai Minya, History of Yamaguchi Poetry, Yamazaki Ichi, Tokai Yu, Muto Shoumei","Plot, love",Mar-99,117,1177113,"In a snowy winter in Kobe, Japan, Watanabe (Mika Nakayama) was so sad that he could not help himself on the second anniversary day of the former fiance Fujii.Because of the unable to restrain the thoughts of the dead lover, Watanabe Bozi found that ""Fujii Tree"" when he studied the address of ""Fujii Tree"" in the recording of his classmates, followed by a love letter that he thought he thought it was to heaven to heaven.Essence

I don't want to receive a reply that Watanabe Bozi received a letter signed as ""Fujii Tree (Sakai Miki)"". After further understanding, she knew that Fujii Tree was a girl who was similar to her, and her boyfriend Fujii ToshishaThe same classmates of the times.In order to learn more about the situation of the former lovers in middle school, Watanabe began to communicate with women Fujii Shushu.In the constant memories of Fujii, the Fujii tree, who was the same name as her in the teenager, had hid a tenderness to herself."
Two big smoke guns,Gai Rich,,"Jason Fleming, Dexter Fleche, Nick Molan, Jason Stanzon, Steven McGloish, Nicholas Rore, Vini Jones, Lamney McCle, P.H. Moriati, Frank Harper, Steve Swiny, Hargi Liver, Ronnie Fox, Stephen Marcus, Vas Blackwood, Stin, Jack Abraham, LuoBrighton, Vera Dai, Alan Fude, Sidd Gold, Danny John Ruler, Victor McGuire, Andrew Timan, Matthew Vorne,Brad Jacob Buovitz","Plot, comedy, crime",1998/8/28,107,623674,"Eddie (Nick Mollen) is agile and is a master of playing cards.With the support of three friends, Eddie brought huge sums of money to participate in the high gambling bureau of the underworld. He did not want to fall into the trap and owed 500,000 gambling debts.In order to pay off the gambling debt, Eddie and his friends racked their brains, and finally counted on a group of drug dealers, and bought two old -fashioned smoke guns for robbery.

I don't want this group of restless drug dealers to miss the money of their drug suppliers and carry out robbery on the same day.After the drug dealers were exhausted, and after the neat money of the drug supplier ironed, Eddie was lucky to enjoy it.But they didn't know that behind this seemingly simple robbery, more powerful roles participated.The two cigarette guns in their hands also hidden a lot of stories.

Can they be lucky to get out of ignorance and reckless?In the occasional incident of jokes, the bitter humor of the little people and the big characters is interspersed."
The beautiful legend of Sicily,Josepe Tonadori,,"Monica Beruch, Josepe Surfaro, Luciano Federico, Marteld Pietro Notarianni, Gaetano Aronica, Gilberto Idonea, Angelo Pellegrino, Gabriella di Luzio, Pippo PROV VIDENTI, Maria Terranova, Marcello Catalano, Elisa Moruch, Domenico Gennaro, Vitalba Andrea, Giuseppe Pattavina, Franco Catalano, Daniele Arena, Giovanni Litrico, Gianluca Guarrerara","Plot, Erotic, War",2000/10/27,108,1020193,"When I was only thirteen years old, on the day of the spring of 1941, I saw her day for the first time. Mussolini declared war on Britain and France, and I got the first bicycle in my life.

She, wavy black and shiny hair, wearing the most fashionable skirts and stockings, and walking on the seductive high -heeled shoes, came to the quiet sun town on Sicily.Her every move was noticeable, hooking her reveries, and her smile taught men to be drunk and women envy.Marina, like a goddess, conquered the Paradise Park of this seaside.

Renardo, who was only 13 years old, fell into the vortex set off by Marina. He not only rode a bicycle along with other older teenagers, shuttled in all corners of the town, searching forMalina's seductive and tennis style has also quietly become her unknown small followers, such as shadows followed the prison and peeped at her life.Her swaying Qianying, her listening music, and her close clothes have become the most authentic and beautiful fantasy of the hormonal young man.

However, through Renardo's eyes, we also saw that Marina fell into a more and more darkest situation. She became a widow, and in the town people ..."
sound of Music,Robert Hywesia,,"Julie Andrews, Christopher Pulum, Elein Nuo Parker, Richard Haydn, Peggy Wood, Charmin Karl, Herch Memisi Erik, Nicholas HamonGermany, Duna, Angela Carter White, Debbie Turner, Kim Karas, Anna Le, Bohia Nelson, Ben White, Daniel TruchtVuitton, Gilgriste Stewart, Mani Nixon, Evadi Baker, Doris Lawde, Gat Rud Rador, Frank Baker, Steve Caruuser,Sim, Sam Harris, Doross Gickins, Lioida Richards, Jeffrey Sel, Bernard Sael, Norman Stepartans, Bett SteiVince, Maria von Trap","Plot, love, song and dance, biography",1965/3/2,174,631892,"Maria (Juli Andrews) is a young and lively nun who likes to sing loudly under nature, so she often forgets the rules in the monastery.The dean believes that Maria is not a rigorous monastery.After discussing the dean and the cowns, he decided to arrange Maria to go to a school teacher named Trap (Christopher Pronuto) as a tutor.

The colonel's wife has died for many years and left 7 children, and he asked for strict discipline to the child.He told Maria's tutors in his house for a long time because of the child's prank.Maria was also a prank, but the kind teacher did not tell their father, but took care of the children like a mother, and soon became a piece of one.Colonel has gradually changed its attitude towards children under Mary's guidance.There was a relationship between Colonel and Maria. After marriage, they returned to Austria, which had been occupied by the Nazis. Colonel did not want to do a job for the Nazis. A family was ready to run away ..."
Invisible guests,Oliol Paul,,"Mario Casast, Ana Wagner, Usey Coronado, Barbala Leno, Fransesk Orelia, Pakko Tus, David Selvas, IraqiNigoga Gaster, San Jeramos, Marner Dulvo, Branka Martinez, Pere Brace, Holdi Brunete, BobbyGonzalez, Martina Ultado","Plot, suspense, thriller, crime",2017/9/15,106,1334675,"Edrian (Mario Casas) runs a technology company, and his career is booming. He has a beautiful and virtuous wife and a lively and lovely daughter in his family.However, the ambitious Edrian did not cherish the hard -earned life. For a long time, he and a female photographer named Laura (Barbara Lennie) kept his physical relationship.

One day after the meeting, the two drove away from the villa, but a car accident occurred on the road. In order to cover up the truth of the incident, the two decided to sink into the bottom of the lake with his car with his car.Later, Laura met a kind old man. The old man pulled Laura's broken car home to repair it. However, what Laura didn't expect was that the old man turned out to be Daniel's father."
Harry Potter and Death Holy Instrument (below),David Yutz,,"Daniel Red Creff, Emma Watson, Robert Grindot, Helena Burch Carter, Ralph Fins, Ellen Rickman, Maggie Smith, Tom Tom, Tom路 Felton, Bonnie White, Juli Wats, Michael Gangben, Ivina Link, Domnall Gryson, Craimandi Boses, Jenson EsarK, Helen McLorry, Matthew Lewis, Liang Peishi, John Hit, David Houlis, Gary Odman, Jim Bladebot, Emma Thompson, Natali SpecialNa, Timoshi Spo, David Bradeli, Roupe Cottraney, Kelly McDonald, Sellen Hid","Fantasy, adventure",2011/8/4,130,876814,"When the consciousness of the Voldemort (Ralph Fiennes) was connected again, Harry Potter (Daniel Daniel Radcliffe) concluded the last one hidden in HogwartsThen, with Ron (Rupert Grint) and Hermione (Emma Watson of Emma Watson), returned to schools with dense clouds.With the help of friends, they successfully expelled Snape (Alan Rickman Alan Rickman), but Voldemort, who was aware of Harry's purpose, led the people to approach Hogwarts.The Death Eaters, Monsters, and Giants rushed into all this magical school with a long history.From Snape's tears, Harry not only learned the story of his father, but also confirmed the last secret of Tibetan in his body.After that, he also ushered in the final confrontation with Voldemort ...

The film is based on the original name of British writer J.K. Rowling, and is also the end of the ""Harry Potter"" series of films."
Avatar,James Cameron,,"Sam Walinson, Zoy Saldana, Siegani Waver, Stephen Lang, Michel Rodriguez, Giovani Ribisi, Joe David Moore, Higan Pound, Wes Studi, Raz Alonso, Dilip Lau, Matt Gerald, Sean Anthony Moran, Jason White, ScottLawrence, Kelly Kilgo, James Pitt, Sean Patrick Murphy, Peter Dillon, Kevin Doman, Kelly Handson, David Van Horne, JacquesMauri, Jurene Renee, Luke Hawk, Woody Schultz, Peter Menza, Iram Cui, Debra Wilson, Chris Mala, Matthew Chamberlain, James Green, Lasco, Lasco路 Atkins, J? RN Benzon, Rowan Betjanman, Robert Catto, Rodnie Cook, Nicole Dionne, Anthony Ingelu, Tim Kano, Camille Date, Dien Nosley, Emma LaW","Action, science fiction, adventure",2010/1/4,162,1478077,"The former Navy Warrior Jack Sali (Sam Worth Worthings), who was paralyzed in the battle and paralyzed in the battle, decided to come to the dead compatriot brother to come to Pandora Star Dr. Lace (Sigourney Weaver)The ""Avatar"" mixed -race creature created by human genes and local Nami genes.The purpose of Jack is to enter the Nami Tribe, and diplomacy persuades them to voluntarily leave the homeland where they live, so that the SECFOR company can cut down the virgin forests of the area and mining an expensive ""uninvable"" mine.In the process of exploring Pandora, Jack encountered the princess of the Nami tribe Natri (Zoe Saldana), and learned her to Name's survival skills and the attitude towards nature.At the same time, the manager of Seco company and the military representative of the military, Colonel Mels (Stephen Lang), gradually lost patience and decided to resort to the martial arts to drive the Na beauty ...

This film is shot by 3D technology, which costs a total of $ 500 million in production and distribution. It is the most expensive work in the history of film.This film won ..."
Saving Private Ryan,Steven Speelberg,,"Tom Hanks, Tom Sezmore, Edward Bernus, Barry Perper, Adam Goldburg, Van Disiel, Gionni Ribi, Jeremi DavidSi, Matt Damon, Ted Dardon, Paul Giamati, Dennis Farina, Max Martini, Danlan Bruno, Daniel Chel Quala, Dimitri 路Gritzas, Steve Griffin, Peter Mels, Adam Shaw, Rolls Saxon, Kerry Johnson, Rockeland Elken, Shangn Johnson, Lehride 路Maninos, Andrew Scott, Matthew Sharp, Vincent Walsh, John Salan, Martin Hubber, Romoro Digolol, Eric Ridman, Michelle Evans, Nathan Philian, Lilan Otse, David Vog, Ryan Herster, Havili Presses, Del Dai, Brian路 Clangston, David Wall, Eric Rocn, Harrison Yang, Kaislin Byrong, John De Lansea, James Embri, Derek Lee, Joseon路 Costa Menesseus, Mark Steinmore","Plot, war",1998/11/13,169,675780,"Ryan (Matt Damon) was the American paratrooper during World War II, trapped behind the enemy.Unfortunately, all his three brothers died in the war. If he was killed, the old mother in the family would be helpless.

The US combat headquarters knew this situation, and resolutely decided to organize a small team to rescue, including Captain Miller (Tom Hanks Tom Hanks) and translator Edition (Jerrry Davies)EssenceHowever, the enemy is dangerous, and they deal with death at any time.They are very doubtful that it is not worth the danger of eight people to save someone.

Everyone went all the way to find Ryan. Some people were dissatisfied with this rescue operation, some were enthusiastic, and some were curious.Everyone smelled the breath of death again and again, and Ryan's rescue paid a heavy price."
Flying Crazy House,Miros Formman,,"Jack Nikelson, Danny Devito, Christopher Royd, Louis Fleche, Wil Samson, Ted Markland, Brad Dorov, SpradTeman Crozus, Michael Belman, Peter Brovo, Muvako Kambca, William Dal, Josip Elik, Siddney Lask, Kai Lee, Dwatt Mafald, Louisa Moritz, William Dedfield, Philip Ross, Mimi Sati Sin, Vincent Scarville, Mis Simal, De De, De DeRose V. Stegus",Plot,1975/11/19,133,568611,"In order to avoid the mandatory labor in the prison, Mc Murphy (Jack Nicholson) pretended to be sent to a mental hospital. His arrival brought a fierce impact on the deadly mental hospital.Mike asked Mike to watch the TV broadcast of the baseball game, challenging the strict management system of the hospital, and was blocked by the nurse chief Lacont (Louise Fleche Louise Fletcher); Mike led the patient to fish in sea, inspiring their spiritHowever, the hospital had a headache.In order to punish the microphone and repeatedly committed the rules of the hospital, the hospital decided to leave him forever.Mike, who is free, can no longer endure the life of the lunatic home. He joined for his patients, the tall Indian ""chiefs"", and began his own plan: fly over the lunatic home.The film won the best film in the 48th Oscar in 1975, the best male, heroine, best director and best adaptation of the five awards.The protagonist's spirit of ""not freedom, rather than death"" still has great practical significance in today's society."
Small shoes,Machid Makidi,,"Muhammed Amir Najib, Farah Amir Hashmian, Bahali Sidic, Nafelis Jafa Mohammad, Ferrashte Salangdi, Dariush Mokhtari, Christopher Maliki","Plot, family, children",1997/2/1,89,429956,"When the poor family ALI (Amir Farrokh Hashemian) helped her sister Zahra (Bahare Seddiqi), they accidentally lost their shoes. In order not to be punished by Mohammad Amir Naji, Fereshte Sarabandi, he was punished. He was punished. He was punished. Ask forZahra was temporarily confidential, saying that the two could replace his shoes to go to school and promised to help her buy double new shoes.

Ali originally expected to use him and his father to work in the city to work to help Zahra to buy a pair of new shoes. His father's accidental injury dispelled his dream.When seeing the third runner -up prize of the mayor's running competition was a pair of sneakers, Ali decided to participate in the competition, but he missed the registration date.After many begging, the teacher (Dariush Mokhtari) made an excellent ALI in the competition.On the game, ALI kept reminding himself that he must get third place!"
effort,Zhou Xingchi,,"Zhou Xingchi, Yuan Qiu, Yuan Hua, Huang Shengyi, Liang Xiaolong, Chen Guokun, Tian Qiwen, Lin Zicong, Lin Xue, Feng Kean, Shi Yanneng, Feng Xiaogang, Yuan Xiangren, Zhang Yibai, Zhao Zhiling, Dong Zhihua, He Wenhui, Chen Kangxi, Lin Zirui, Ren Jiarui, Wang Shiying","Comedy, action, crime, fantasy",2004/12/23,100,1206679,"In Shanghai in the 1940s, on the streets of the streets, A Xing (Zhou Xingchi), who had been humiliated since childhood, in order to be able to get ahead, it can be described as a glimpse of the opportunity.The great name achieves great cause.

A Xing's counterfeit ""Ax Gang"" members tried to blackmail the residents in a place called ""Pig Cage City"", and did not want to attract the resentment of the residents of the residents of the real ""ax gang"" and the ""pig cage city"".""Pig Cage City"" was originally a place where the Dragon Dragon Crouching Tiger. There are many residents who are with the best skills (Yuanhua, Liang Xiaolong, etc.). They are hidden here to stay away from rivers and lakes. They do not want to bother to automatically go up. They can't hide.In the struggle between the two factions of watching the war, A Xing gradually realized the true meaning of kung fu."
The Silence of the Lambs,Jonathan Demi,,"Judy Foster, Anthony Hopkins, Scott Galen, Anthony Hilde, Brook Smith, Cas Lengs, Franki Fisen, Taye LavinTriss Water, Dan Bartler, Dala","Plot, thriller, crime",1991/2/14,118,935711,"Clarice M. Starling, a student of the Joint Bureau College, was assigned by the Jack Crawford (Scott Galen) of the Behavioral Science Group to visit the prison psychiatrist Hannibal Leucter, a prisoner,(Anthony Hopkins).Lecter requires to transfer to federal agencies with better conditions, stay away from Dr. Frederick Chilton (Anthony Hilde) who often torture him, and is willing to provide a psychological analysis of a serial killer Bull (Tide Lavin), a continuous crime,Nympho"
Budapest Hotel,Wes Anderson,,"Ralph Fedis, Tony Ritvolley, Adrian Broudi, William Dafu, Jude Roman, Edward Norton, Silsa Ronan, Tilda Svaton, Bill Merry, Leiya Setad, Owen Wilson, Jen Schwarzman, Matthew Amalk, F. Merry Abraham, Tom Wilkinson, Jeff Gogre,, Jeff Gau Brun,Harvey Kate","Plot, comedy, adventure",2014/2/6,99,993916,"The story starts with an unknown writer (Jude Luo Jude Law). In order to concentrate on the creation, he came to a restaurant called ""Budapest"". Here, the writer met the owner of the restaurant Musta (F.Musafa invited writers to dinner with Musta F. Murray Abraham). During the dinner, he told the writer about the past and present life of the stormy restaurant.

The former owner of the hotel was called Gustova (Ralph Fiennes), and the young Musta (Tony Revolori) was only followed by him at the time.Little door child.Gustawava is upright, smart and capable. Under his operation and organization, the Budapest Hotel has become the leading resort at that time.Gustovo and the elderly Mrs. D (Tilda Swinton) in Tilda Swinton, after the death of Mrs. D, left the famous paintings in the city to Gustova in the will.Her son Dimitri (Adrian Blody Adrie ..."
Closed island,Martin Scoces,,"Leonardo Dicaprio, Mark Ruflo, Ben Kingsley, Max von Sydov, Michelle Williams, Emily Modelm, PattiusiYa Clarkson, Jeki El Harry, Tidd Raven, John Carlo Link, Eleias Cottos, Robin Batlite, Christopher Deng Han, Joseph, JosephScoolla","Plot, suspense, thriller",2010/2/13,138,1027526,"The film is adapted from the same name novel of the same name of the American novelist Dennis Lehane.In 1954, the Federal Police Officer Teddy (Leonardo Dicaprio) and partner Chake (Mark Ruffalo) came to the banned island psychiatric crime of prison to investigate the one near Boston, Mark Rufelo Mark Ruffalo)The bizarre disappearance of the pile.Rachel (Emily Mortimer), the female prisoner of the biological flesh and flesh, escaped mysteriously from the rigorous clinic room, hiding deep in the island.Teddy suspected that the prison's attending psychiatrist John Kobei (Ben Kingsley Ben Kingsley) intends to conceal her inner situation and reveal to Chake that his true purpose of his landing is actually looking for arson to burn his wife Dlores.(Michelle Williams), the administrator of Michelle, also revealed the crime of the US government's use of psychiatric prisoners for human scientific experiments.But as the investigation gradually deepened, the truth became more and more confusing ..."
The Butterfly Effect,"Eric Bres, J. McKee Gruber",,"Ashton Koco, Mella Lala Walters, Emi Smart, Erden Hanson, William Lee Scott, John Patrick Amedori, Irene GoloHaya, Kevin G. Schmidt, Jesse James, Rogan Leman, Sarah Willdus, Jack Keis, Cameron Blatt, Erik StolzKobeim Gis Renny, Kevin Dulan","Plot, science fiction, suspense, thriller",2004/1/23,113,983361,"Ivan (Ashton Kutcher) once had a bad childhood, because his behavior made a big disaster, which made his childhood full of memories.In fact, he really just remembers a terrible scene, these scenes have been entangled with his normal life.Ivan accepted the suggestion of psychologists to remember the trivial life in the notepad, but accidentally found that it returned to the past through the notepad.

At this time, he clearly remembered that he had done so many wrongs in his childhood.He dreamed that with his current consciousness, he sneaked into his childhood body to make up for the damage caused by all kinds of faults to people, especially in hoping to go back with the Casey who was secretly in love.However, his changes over time and space can only be increasingly increasingly induced in the real world.Everything is like a butterfly effect."
Prisoners of Harry Potter and Azkaban,Afangso Caron,,"Daniel Dalifrif, Emma Watson, Robert Glint, Gary Odman, Juli Waters, Bonnie White, David Houlis, Michael Gangben, MichaelAllen Rickman, Maggie Smith, Tom Felton, Emma Thompson, Julie Christie, Timoshi Spo","Fantasy, adventure",2004/9/10,141,780473,"Harry (Daniel Rudcliffe) is about to cross the third year in Hogwarts. At this time, there is news that the villain Sirius (Kali Odman) jailbreak is reported in Aztador.Sirius is said to be a friend who betrayed Harry's parents, his godfather, and this time Sirius seemed to be looking for him.Harry's heart quietly breeds the idea of 鈥嬧€媟evenge for his parents, looking forward to the appearance of Sirius.

The new magic teacher Lupine (David Houryis) has a unruly personality and has a good relationship with Harry. He taught many practical black magic defense knowledge of Harry.At this time, a mysterious figure appeared on his magic map, the worm tail.Occasionally, under the screaming shed, all the friends of Harry's father were gathered in the screaming shed. Lupine, Worm Tail, Little Sirius, Harry's wand directly pointed to Sirius, but he found that the criminal looked at his eyes.Full of love ..."
Fatal magic,Christopher Nolan,,"Hugh Jackman, Christian Bell, Michael Kane, Rebecca Haur, Scarlett Johnson, David Bowie, Andy Serkins, Popper Perabo, Saman, SamanTagas, Daniel Davis, Jim Pipkek, Christopher Nim, Mark Ryan, Roger Lis, Jamie Harris, Ron Parkins, Rich Jie,Anthony De Mark, Ji Chaoli","Plot, suspense, thriller",2006/10/17,130,899342,"At the end of the 19th century, people did not know too much about scientific civilization, so Angel (Hugy Jackman Hugh Jackman) and Boden (Christian Bell Christian Bale) became the magic figure in London.Angel was born in a nobleman. The magic method is gorgeous and rich, and is a frequent performer in the rich man circle.And even if Boden was a flat, competing for a strong mind and creative magic skills, he also made him famous.The two have been good partners since childhood. However, now the two of the magic world have their own territories, and they both have ambitions to become the top magician in the music hall.

Boden had a wonderful avatar, and applauded.When Angel saw the situation, he moved to the scientist to help out -the exchange electricity he invented was infinitely magical to ensure that the audience was stunned.The two of them were attacked, and the battle was upgraded violently. Both friendship and morality were left behind, and a blood case was quietly brewing."
Good Will Hunting,Geus Fan Santte,,"Matt Damon, Robin Williams, Ben Afflek, Strang Scasgard, Mingnie Derrich, Cassi Afflek, Cole Hossel, JohnMaton, Dan Washington, Elison Furland, Victor Sahai, Steven Cuzlovsky, Scott William Ventus, Jimmy Flynn, George 路 路 George 路Prince Peton, Francisco Clement",Plot,1997/12/5,126,753332,"Lan Bo, a professor of mathematics at Massachusetts Institute of Technology, announced a difficult mathematical problem at the seat, but was unlocked by the young Clean Veter (Matt Dimon).But Will is a problem teenager. He has wandered around with his good friend Chake (Ben Affreter) and others all day long.When Lan Bo found this genius, he was sentenced to the court to the detention center because of the fight and attacking the police.Lan Bo asked the judge to be released from prison.

In order to let Will find his own life goals and do not waste his mathematical talent, he invited a lot of psychological experts to provide counseling for Will, but Will was very resistant, and the experts were helpless.Without any way, Lan Bo asked his friend of his university, and professor of psychology, Shang En (Robin Williams), hoping to help Will open the atrium.

After the unremitting efforts of the Monk of Lanbo, Will gradually opened up, and a friend Chard's words made him suddenly cheerful."
Be over,Tony Kayaya,,"Adrian BroDi, Masia Gay Harden, James Kenne, Christina Hedrics, Liu Yuling, Blais Danna, Tim Brek Nielsen, William PeterMori, Bryan Cranton, Sami Gall, Louis Zoric, Little Isea Witlock, David Haosen, John Senapimbo, Silia Ao, Ronan, Ronan路 Robinstein, Al -Caldlon, Brauna Brown, Reagan Lenad, James Hoisi, Josh Pas, Riine Felis Smith, Doug Ing, Patricia Ray, Samana Rogan, Ralph Rodriguez",Plot,2011/4/25,98,647911,"Henry Bacht (Adrien Brody) came to a community school as a substitute teacher.The school was endangered due to students' rebellion and poor management. A group of teachers headed by Doris (Liu Yuling) were suffering.Henry's first class encountered the provocation of stubborn students, but he was cleverly resolved by him.He won the favor of the female teacher, Christina, Christina Hendricks.At the same time, his teaching method aroused the interest of students, including Melidis, who was distressed because of obesity.She has been silently bearing the various scolding and ridicule caused by weight.But because of the teacher, she seems to have found everything again ...

However, Henry actually had a lot of pressure in his heart. When his grandfather was dying, his mother's suicide shadow was always lingering in his mind.One night, he was sad and shed alone on the bus.This situation was seen by a young prostitute, Sami Gayle, who has just been insulted by the client.She followed him, hoping to get his help.He rejected her request at first, and then he still took her ..."
pulp Fiction,Quentin Tasanino,,"John Trawolta, Uma Suman, Oanda Pramo, Tim Rose, Samuel Jackson, Phil Rama, Bruce Willis, Frank Wil, Bul路 Steels, Ven Rims, Laura Rafley, Paul Costaln, Bronna Galah, Rona Akquet, Eric Starz,Maria de Meidelo","Plot, comedy, crime",1994/5/12,154,877950,"""Vulgar Fiction"" consists of three stories: ""Vincent and Masha's wife"", ""Gold Watch"", and ""Bangni's situation"", and the prelude and end of the film and end.In the seemingly independent little story, there are interlocking people and things.

The thieves ""Little Pumpkin"" and ""Little Rabbit"" were robbed in the breakfast shop, but they met the trouble of the sky -underworld member Juls (Samuel L. Jackson) and Vincent (John?Lavolta John Travolta) dining in the store can be described as there is a heavenly outside.Will the two let the two little thieves go?

And Vinson is the underworld of the underworld brother Masha Wallace (Ven Rims Ving Rhames), Masha ordered him to accompany his wife for one night, knowing that if there is a Lei Chi, it will undoubtedly die, but in the face of Masha's wifeWhat should I do if Vincent is beautiful and seductive.

Vinson's story is not over yet, and the appearance of boxer Bruce Willis will change his life to change.Biqi has a ancestral gold watch, because of this golden watch, he shared a shameful secret with Masha.

Story ring structure, back ..."
Modern times,Charlie Chaplin,,"Charlie Chaplin, Baolian Gaudi, Henry Bergman, Tiger Sanford, Chest Kangkelin, Hankman, Stanley Brystone, Alo Nensteston路 Garcia, Richard Alexander, Cecil Reynolds, Mira Macinnie, Murdoch Macquari, Wil Fred Lucas, Edward Lessan, Fred路 Mara Teta, Sami Stan, Ted Oliver, Norman Ansley, Bobby Barberry, Hyne Cuming, Gloolia De Heiwen, Pat FlecheTi, Frank Hagney, Pat Hamon, Lawe Idengraham, Walter James, Edward Kimbole, Jack Row, Budi Mexinjie, Bruce Michel, Bruce Michel,Frank Moran, James C. Morton, Louis Nato, J. C. Newkins, Las Powell, Johnland, Harry Wilson","Plot, comedy, love",1936/2/25,87,317960,"In the 1920s, the United States was in a period of economic depression, and the unemployment rate remained high. Workers were squeezed by diligence and became a screw in the production of large machines.Charlie (Charlin Charles Chaplin) is a citizen of the bottom. He works night in a machine in a machine to earn a meager income.The repeated and heavy work made him breathless. He twisted people's noses as screws and was involved in the belt of the assembly line machine.

Although Charlie is poor, it is kind.He rescued the wanderer on the road and lived with her, but his family was torn but warm.Every time Charlie, who is not in a text, will deliberately commit crimes in order to find food in order to enter the prison.The scene has improved for a while, and the wandering girl became a red star, but the good times were too short."
Spring light,Wang Jiawei,,"Leslie Cheung, Liang Chaowei, Zhang Zhen, Geoliguri Deton","Plot, love, homosexuality",1997/5/30,96,661952,"Li Yaohui (Liang Chaowei) and He Baorong (Leslie Cheung) are a pair of homosexuals. In order to have a new beginning, they left Hong Kong with a beautiful dream (see South American waterfall) to Argentina, but in Buenos Aireslost way.Li Yaohui wanted to live in peace, but helplessly He Baorong indulged his life in the night of Ye Ye Sheng, in order to find more stimuli. Only Li Yaohui was his harbor after his injury.The distance is getting farther and farther.

When Li Yaohui understood that when the days could no longer return, he decided to leave He Baorong. It was the meaning of despair (the love for Li Yaohui) after he left."
